LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,2013-01-21,0.226,0.2595000021,1.3710001,48,0.2303629986,12.4560001,0.074
MAC000002,2013-01-22,0.194,0.2264583354,1.2920001,48,0.1958545992,10.8700001,0.072
MAC000002,2013-01-23,0.208,0.2289583333,0.927,48,0.1680922946,10.99,0.074
MAC000002,2013-01-24,0.211,0.2525833333,1.138,48,0.2240081527,12.124,0.075
MAC000002,2013-01-25,0.2225,0.2345833333,0.756,48,0.1561744569,11.26,0.072
MAC000002,2013-01-26,0.2205,0.3405833333,1.603,48,0.3643636734,16.348,0.074
MAC000002,2013-01-27,0.21,0.238875,0.951,48,0.1751114691,11.466,0.074
MAC000002,2013-01-28,0.148,0.2063958333,0.796,48,0.1564364788,9.907,0.073
MAC000002,2013-01-29,0.1395,0.2059583333,0.912,48,0.1750844123,9.886,0.071
MAC000002,2013-01-30,0.167,0.2145208333,1.302,48,0.1858126475,10.297,0.073
MAC000002,2013-01-31,0.1275,0.1918333313,1.0779999,48,0.1584740055,9.2079999,0.074
MAC000002,2013-02-01,0.202,0.2073541646,1.3329999,48,0.1852459408,9.9529999,0.074
MAC000002,2013-02-02,0.182,0.3145208333,1.472,48,0.3315052061,15.097,0.073
MAC000002,2013-02-03,0.1835,0.2352083333,1.498,48,0.2505468876,11.29,0.074
MAC000002,2013-02-04,0.1255,0.1832916667,0.73,48,0.1246428017,8.798,0.074
MAC000002,2013-02-05,0.174,0.2947083313,1.298,48,0.3039503648,14.1459999,0.08
MAC000002,2013-02-06,0.1915,0.2962916667,1.327,48,0.3046566239,14.222,0.075
MAC000002,2013-02-07,0.1685,0.2434166667,1.383,48,0.2477027932,11.684,0.072
MAC000002,2013-02-08,0.169,0.2007291667,0.732,48,0.1387291467,9.635,0.074
MAC000002,2013-02-09,0.1895,0.3072083354,1.3200001,48,0.3245470205,14.7460001,0.074
MAC000002,2013-02-10,0.2195,0.3306458333,1.501,48,0.3503138708,15.871,0.074
MAC000002,2013-02-11,0.223,0.239875,1.151,48,0.1867143255,11.514,0.073
MAC000002,2013-02-12,0.2075,0.2282916667,1.023,48,0.1711056608,10.958,0.073
MAC000002,2013-02-13,0.1505,0.2323125,0.838,48,0.1879596104,11.151,0.074
MAC000002,2013-02-14,0.1535,0.2092083333,0.976,48,0.1731073899,10.042,0.073
MAC000002,2013-02-15,0.1285,0.2360416667,0.949,48,0.2128323642,11.33,0.073
MAC000002,2013-02-16,0.19,0.2251458333,0.968,48,0.1647792837,10.807,0.075
MAC000002,2013-02-17,0.1375,0.1921041667,1.296,48,0.1894071647,9.221,0.075
MAC000002,2013-02-18,0.1345,0.1992291667,0.887,48,0.1658334514,9.563,0.067
MAC000002,2013-02-19,0.2105,0.2352708333,0.943,48,0.1843901668,11.293,0.068
MAC000002,2013-02-20,0.1915,0.2279375,1.174,48,0.2013416073,10.941,0.067
MAC000002,2013-02-21,0.2095,0.4311666688,2.8870001,48,0.5708343121,20.6960001,0.07
MAC000002,2013-02-22,0.241,0.5003750042,2.994,48,0.5851143105,24.0180002,0.068
MAC000002,2013-02-23,0.231,0.2942708333,1.205,48,0.2546858507,14.125,0.069
MAC000002,2013-02-24,0.223,0.4114791667,1.812,48,0.4463895346,19.751,0.065
MAC000002,2013-02-25,0.1375,0.2332916667,0.791,48,0.1934478827,11.198,0.073
MAC000002,2013-02-26,0.209,0.2328124979,1.1059999,48,0.1812144103,11.1749999,0.067
MAC000002,2013-02-27,0.239,0.3285208333,1.28,48,0.2955211761,15.769,0.076
MAC000002,2013-02-28,0.4985,0.6797500042,1.978,48,0.5425459553,32.6280002,0.081
MAC000002,2013-03-01,0.339,0.8184166667,2.5239999,48,0.7231873814,39.284,0.071
MAC000002,2013-03-02,0.4105,0.54775,1.642,48,0.4562838562,26.292,0.079
MAC000002,2013-03-03,0.302,0.4912500021,1.862,48,0.4934675651,23.5800001,0.072
MAC000002,2013-03-04,0.1755,0.5301458313,2.4649999,48,0.6266458093,25.4469999,0.07
MAC000002,2013-03-05,0.723,0.6844999979,2.3740001,48,0.5002245887,32.8559999,0.072
MAC000002,2013-03-06,0.2125,0.3466041667,1.515,48,0.3130400518,16.637,0.079
MAC000002,2013-03-07,0.4055,0.5774583354,2.0450001,48,0.4642554378,27.7180001,0.071
MAC000002,2013-03-08,0.2365,0.39325,1.442,48,0.3772332931,18.876,0.075
MAC000002,2013-03-09,0.198,0.2262083333,1.155,48,0.1838300508,10.858,0.077
MAC000002,2013-03-10,0.273,0.3998125,2.026,48,0.4017197423,19.191,0.075
MAC000002,2013-03-11,0.186,0.2845416667,1.674,48,0.2555145795,13.658,0.077
MAC000002,2013-03-12,0.1965,0.3361458333,1.09,48,0.2443647422,16.135,0.091
MAC000002,2013-03-13,0.2065,0.2699166667,1.323,48,0.2137217154,12.956,0.073
MAC000002,2013-03-14,0.154,0.2559583333,0.903,48,0.191537448,12.286,0.067
MAC000002,2013-03-15,0.207,0.2742708333,0.976,48,0.1878277549,13.165,0.074
MAC000002,2013-03-16,0.1385,0.2635833333,1.017,48,0.2063689975,12.652,0.074
MAC000002,2013-03-17,0.3585,0.3621458354,1.4170001,48,0.2640465864,17.3830001,0.075
MAC000002,2013-03-18,0.168,0.2769791625,1.0549999,48,0.2326893954,13.2949998,0.072
MAC000002,2013-03-19,0.126,0.2608125,1.225,48,0.2284482954,12.519,0.074
MAC000002,2013-03-20,0.2775,0.2919583333,1.061,48,0.1854885393,14.014,0.078
MAC000002,2013-03-21,0.203,0.2234791667,1.038,48,0.1676103624,10.727,0.073
MAC000002,2013-03-22,0.271,0.28175,0.962,48,0.1832374927,13.524,0.073
MAC000002,2013-03-23,0.3725,0.5333125,2.457,48,0.5360079478,25.599,0.082
MAC000002,2013-03-24,0.188,0.3236458333,1.572,48,0.2981886087,15.535,0.078
MAC000002,2013-03-25,0.1045,0.1204375,0.415,48,0.0732073436,5.781,0.065
MAC000002,2013-03-26,0.105,0.1038541667,0.133,48,0.011701954,4.985,0.07
MAC000002,2013-03-27,0.103,0.1061875,0.194,48,0.0254672558,5.097,0.065
MAC000002,2013-03-28,0.1035,0.1026875,0.127,48,0.0136134418,4.929,0.08
MAC000002,2013-03-29,0.104,0.1008541667,0.139,48,0.023765691,4.841,0.066
MAC000002,2013-03-30,0.1035,0.1027291667,0.189,48,0.0260186018,4.931,0.066
MAC000002,2013-03-31,0.099,0.1027708333,0.138,48,0.0167398614,4.933,0.072
MAC000002,2013-04-01,0.1065,0.103125,0.143,48,0.0278717618,4.95,0.067
MAC000002,2013-04-02,0.135,0.2502916667,0.875,48,0.1964073013,12.014,0.069
MAC000002,2013-04-03,0.147,0.2379375,1.017,48,0.1811689474,11.421,0.071
MAC000002,2013-04-04,0.344,0.3437916667,1.233,48,0.2662515974,16.502,0.077
MAC000002,2013-04-05,0.273,0.3032291667,1.191,48,0.2231299821,14.555,0.073
MAC000002,2013-04-06,0.276,0.3474791688,1.1720001,48,0.2637557761,16.6790001,0.075
MAC000002,2013-04-07,0.258,0.2796666667,0.934,48,0.180075201,13.424,0.074
MAC000002,2013-04-08,0.209,0.2945416708,1.4960001,48,0.2873151704,14.1380002,0.073
MAC000002,2013-04-09,0.21,0.2838958333,1.271,48,0.2296557312,13.627,0.073
MAC000002,2013-04-10,0.3045,0.2902916688,1.1440001,48,0.2004319849,13.9340001,0.073
MAC000002,2013-04-11,0.147,0.2752916667,0.956,48,0.2050398984,13.214,0.081
MAC000002,2013-04-12,0.196,0.2617291667,1.46,48,0.2487175395,12.563,0.088
MAC000002,2013-04-13,0.6365,0.5407916667,1.418,48,0.3444235368,25.958,0.079
MAC000002,2013-04-14,0.194,0.2631458354,1.5420001,48,0.2307160101,12.6310001,0.077
MAC000002,2013-04-15,0.2695,0.2903541667,0.988,48,0.1601490648,13.937,0.074
MAC000002,2013-04-16,0.1785,0.2279166667,1.036,48,0.1631114791,10.94,0.075
MAC000002,2013-04-17,0.134,0.1885208333,0.894,48,0.1431584436,9.049,0.076
MAC000002,2013-04-18,0.1525,0.2155416667,0.678,48,0.1570602213,10.346,0.073
MAC000002,2013-04-19,0.168,0.2146458333,0.87,48,0.1490188464,10.303,0.073
MAC000002,2013-04-20,0.2885,0.3734375,1.681,48,0.2925419705,17.925,0.075
MAC000002,2013-04-21,0.222,0.2829166667,0.841,48,0.2024867564,13.58,0.075
MAC000002,2013-04-22,0.1355,0.1868541667,0.898,48,0.1487699909,8.969,0.074
MAC000002,2013-04-23,0.1305,0.1713541667,1.17,48,0.1637004906,8.225,0.073
MAC000002,2013-04-24,0.1315,0.1778958333,0.91,48,0.1445845464,8.539,0.074
MAC000002,2013-04-25,0.132,0.1975208333,1.374,48,0.2074454545,9.481,0.073
MAC000002,2013-04-26,0.156,0.208,0.822,48,0.1551663486,9.984,0.074
MAC000002,2013-04-27,0.165,0.2005208333,1.011,48,0.1591700535,9.625,0.073
MAC000002,2013-04-28,0.169,0.2055,0.748,48,0.1438987528,9.864,0.073
MAC000002,2013-04-29,0.1195,0.1577291667,1.178,48,0.1695363815,7.571,0.067
MAC000002,2013-04-30,0.123,0.18,0.936,48,0.1651350189,8.64,0.074
MAC000002,2013-05-01,0.126,0.1681041667,1.052,48,0.1475374081,8.069,0.075
MAC000002,2013-05-02,0.1365,0.1946458333,0.877,48,0.1519890099,9.343,0.073
